Show,Season,Episode,Name
What We Do in the Shadows,1,1,Pilot
What We Do in the Shadows,1,2,City Council
What We Do in the Shadows,1,3,Werewolf Feud
What We Do in the Shadows,1,4,Manhattan Night Club
What We Do in the Shadows,1,5,Animal Control
What We Do in the Shadows,1,6,Baron's Night Out
What We Do in the Shadows,1,7,The Trial
What We Do in the Shadows,1,8,Citizenship
What We Do in the Shadows,1,9,The Orgy
What We Do in the Shadows,1,10,Ancestry
What We Do in the Shadows,2,1,Resurrection
What We Do in the Shadows,2,2,Ghosts
What We Do in the Shadows,2,3,Brain Scramblies
What We Do in the Shadows,2,4,The Curse
What We Do in the Shadows,2,5,Colin's Promotion
What We Do in the Shadows,2,6,On the Run
What We Do in the Shadows,2,7,The Return
What We Do in the Shadows,2,8,Collaboration
What We Do in the Shadows,2,9,Witches
What We Do in the Shadows,2,10,Nouveauth Théatre des Vampires
What We Do in the Shadows,3,1,The Prisoner
What We Do in the Shadows,3,2,The Cloak of Duplication
What We Do in the Shadows,3,3,Gail
What We Do in the Shadows,3,4,The Casino
What We Do in the Shadows,3,5,The Chamber of Judgement
What We Do in the Shadows,3,6,The Escape
What We Do in the Shadows,3,7,The Siren
What We Do in the Shadows,3,8,The Wellness Center
What We Do in the Shadows,3,9,A Farewell
What We Do in the Shadows,3,10,The Portrait